date,usd_idr,target,target_ret,ret_1,ret_lag1,ret_lag2,ret_lag3,ret_lag4,ret_5,ret_20,vol_5,vol_20,z_20,gap_days,jumlah_berita
2021-09-29,14307,1,0.000978063512368621,0.002659576035759059,0.0007711992530019529,0.000561245980776448,-0.0004209640137933235,0.0004911419148019291,0.004062199170546066,0.0016088982519963935,0.001129294989130345,0.0018841469182231051,2.3797889873305085,1.0,14
2021-09-30,14321,0,-0.00041905294648714175,0.000978063512368621,0.002659576035759059,0.0007711992530019529,0.000561245980776448,-0.0004209640137933235,0.004549120768112758,0.0027970090257696256,0.0011155726120823813,0.0018932141378937976,2.4725393742878876,1.0,4
2021-10-01,14315,0,-0.0027281329221651163,-0.00041905294648714175,0.000978063512368621,0.002659576035759059,0.0007711992530019529,0.000561245980776448,0.004551031835418939,0.0037793997954498337,0.0011150028566711638,0.0018636334965908352,1.917456269172204,1.0,7
2021-10-04,14276,0,-0.0011213906417637531,-0.0027281329221651163,-0.00041905294648714175,0.000978063512368621,0.002659576035759059,0.0007711992530019529,0.001261652932477375,0.0025951268290569374,0.001995285831691569,0.001938883713545723,0.5484210070574063,3.0,10
2021-10-05,14260,0,-0.001052447036277826,-0.0011213906417637531,-0.0027281329221651163,-0.00041905294648714175,0.000978063512368621,0.002659576035759059,-0.000630936962288331,0.004568625061216025,0.0020509856300404963,0.0018122162686575406,-0.11553581285268007,1.0,5
2021-10-06,14245,0,-0.0004915212681915193,-0.001052447036277826,-0.0011213906417637531,-0.0027281329221651163,-0.00041905294648714175,0.000978063512368621,-0.004342960034325216,-0.0014731159059735432,0.0013386396276485006,0.0014427337417549822,-0.6542467244425989,1.0,6
2021-10-07,14238,0,-0.0009134666692869331,-0.0004915212681915193,-0.001052447036277826,-0.0011213906417637531,-0.0027281329221651163,-0.00041905294648714175,-0.0058125448148853565,-0.002385129155973331,0.0009311194956395918,0.0014407047519178675,-0.8458107938003031,1.0,8
2021-10-08,14225,0,-0.0010550379033844592,-0.0009134666692869331,-0.0004915212681915193,-0.001052447036277826,-0.0011213906417637531,-0.0027281329221651163,-0.006306958537685148,0.0,0.0008556197009146839,0.0012497389717727203,-1.3411054027824463,1.0,8
2021-10-11,14210,1,0.0004924895445519439,-0.0010550379033844592,-0.0009134666692869331,-0.0004915212681915193,-0.001052447036277826,-0.0011213906417637531,-0.004633863518904491,-0.0035124728771407376,0.00025482494177334937,0.0011269975831358773,-1.6709012865483786,3.0,13
2021-10-12,14217,1,0.0002813137369983565,0.0004924895445519439,-0.0010550379033844592,-0.0009134666692869331,-0.0004915212681915193,-0.001052447036277826,-0.0030199833325887937,-0.0028095825182621326,0.000654837831146151,0.0011367731462252446,-1.291503853728125,1.0,14
