date,lex_title_vader_compound,lex_title_vader_pos,lex_title_vader_neg,lex_title_vader_neu,lex_title_lm_negative,lex_title_lm_positive,lex_title_lm_uncertainty,lex_title_lm_litigious,lex_title_lm_strong_modal,lex_title_lm_weak_modal,lex_title_lm_constraining,lex_title_lm_tone,lex_title_log_n_news,lex_title_has_news,lex_title_vader_compound_dev,lex_title_lm_tone_dev,lex_title_lm_negative_dev,lex_title_lm_uncertainty_dev,lex_lead_vader_compound,lex_lead_vader_pos,lex_lead_vader_neg,lex_lead_vader_neu,lex_lead_lm_negative,lex_lead_lm_positive,lex_lead_lm_uncertainty,lex_lead_lm_litigious,lex_lead_lm_strong_modal,lex_lead_lm_weak_modal,lex_lead_lm_constraining,lex_lead_lm_tone,lex_lead_log_n_news,lex_lead_has_news,lex_lead_vader_compound_dev,lex_lead_lm_tone_dev,lex_lead_lm_negative_dev,lex_lead_lm_uncertainty_dev,lex_full_vader_compound,lex_full_vader_pos,lex_full_vader_neg,lex_full_vader_neu,lex_full_lm_negative,lex_full_lm_positive,lex_full_lm_uncertainty,lex_full_lm_litigious,lex_full_lm_strong_modal,lex_full_lm_weak_modal,lex_full_lm_constraining,lex_full_lm_tone,lex_full_log_n_news,lex_full_has_news,lex_full_vader_compound_dev,lex_full_lm_tone_dev,lex_full_lm_negative_dev,lex_full_lm_uncertainty_dev,tfidf_title_svd00,tfidf_title_svd01,tfidf_title_svd02,tfidf_title_svd03,tfidf_title_svd04,tfidf_title_svd05,tfidf_title_svd06,tfidf_title_svd07,tfidf_title_svd08,tfidf_title_svd09,tfidf_title_svd10,tfidf_title_svd11,tfidf_title_svd12,tfidf_title_svd13,tfidf_title_svd14,tfidf_title_svd15,tfidf_title_svd16,tfidf_title_svd17,tfidf_title_svd18,tfidf_title_svd19,tfidf_lead_svd00,tfidf_lead_svd01,tfidf_lead_svd02,tfidf_lead_svd03,tfidf_lead_svd04,tfidf_lead_svd05,tfidf_lead_svd06,tfidf_lead_svd07,tfidf_lead_svd08,tfidf_lead_svd09,tfidf_lead_svd10,tfidf_lead_svd11,tfidf_lead_svd12,tfidf_lead_svd13,tfidf_lead_svd14,tfidf_lead_svd15,tfidf_lead_svd16,tfidf_lead_svd17,tfidf_lead_svd18,tfidf_lead_svd19,tfidf_full_svd00,tfidf_full_svd01,tfidf_full_svd02,tfidf_full_svd03,tfidf_full_svd04,tfidf_full_svd05,tfidf_full_svd06,tfidf_full_svd07,tfidf_full_svd08,tfidf_full_svd09,tfidf_full_svd10,tfidf_full_svd11,tfidf_full_svd12,tfidf_full_svd13,tfidf_full_svd14,tfidf_full_svd15,tfidf_full_svd16,tfidf_full_svd17,tfidf_full_svd18,tfidf_full_svd19
2021-09-29,-0.15893571428571432,0.04342857142857143,0.1310952380952381,0.8254761904761905,60.85422513993943,9.696186166774401,0.0,5.1020408163265305,9.863945578231293,0.0,0.0,-0.5,2.70805020110221,1,-0.15893571428571432,-0.5,60.85422513993943,0.0,0.022118690476190483,0.06764523809523809,0.060246428571428576,0.8721261904761904,23.09674640978303,6.585077182644606,4.362801377726751,5.387667887667888,5.17713393678864,1.098901098901099,0.0,-0.4642857142857143,2.70805020110221,1,0.022118690476190483,-0.4642857142857143,23.09674640978303,4.362801377726751,0.06837863959041392,0.0891679821991347,0.06315509127574502,0.8477076937965208,25.879047753214056,11.635464689616091,8.171834782289736,3.9621516180916787,5.899388189904287,4.240415210194569,1.2512478396188216,-0.3908088814363121,2.70805020110221,1,0.06837863959041392,-0.3908088814363121,25.879047753214056,8.171834782289736,0.21028899,-0.011108557,-0.014317745,0.05731036,-0.14171062,0.10349369,0.011647834,0.05938246,-0.024159336,-0.017253667,0.03872625,-0.028132005,-0.018078476,-0.012362252,0.0053217225,0.0041970406,-0.024961615,-0.00036973637,0.15264085,0.05090116,0.26557076,0.017656792,-0.062176682,-0.025142217,0.0062338654,-0.01473598,-0.065415524,-0.09134177,-0.0070498167,0.034604877,-0.03006755,0.025849422,0.1451433,0.1657318,-0.03832138,0.071984,-0.014812568,-0.0065795933,-0.043653455,0.021314459,0.32054928,-0.013906544,0.009678017,-0.057671607,0.030150473,0.1360806,-0.05651595,-0.038604584,0.013954375,-0.014939484,0.025478229,-0.077846475,0.07702102,0.00795561,-0.016021784,0.04103845,0.06612335,0.02813639,-0.017695721,-0.056869317
2021-09-30,0.208825,0.15337499999999998,0.060625,0.786125,15.625,0.0,15.625,0.0,15.625,0.0,0.0,-0.25,1.6094379124341003,1,0.36776071428571433,0.25,-45.22922513993943,15.625,-0.025732500000000002,0.072925,0.07786666666666667,0.8492083333333333,25.909296551143655,8.064516129032258,11.770353302611367,0.0,0.0,8.198924731182796,4.166666666666667,-0.6666666666666667,1.6094379124341003,1,-0.047851190476190485,-0.20238095238095244,2.8125501413606244,7.407551924884616,0.014296542385122329,0.07564788525774127,0.05441134783786224,0.8699276090096596,22.726732854334962,8.003417044809323,10.637118044345458,2.796420581655481,5.227440697310703,4.699164930721936,5.634877211914836,-0.21740196078431373,1.6094379124341003,1,-0.054082097205291585,0.17340692065199836,-3.1523148988790943,2.4652832620557223,0.087276004,-0.005333421,0.008402813,-0.05516596,-0.07625456,0.09710415,0.029848084,-0.036899123,0.008789375,0.0024315312,0.02253397,0.006188524,-0.0057247644,-0.047110498,-0.07222012,-0.025082262,0.008646024,-0.07603593,0.027214142,0.10956105,0.13612784,0.027266014,0.020047678,-0.059939057,-0.08586108,-0.026147233,-0.10318485,-0.055775773,0.1201973,0.048583277,0.13391414,-0.092023455,-0.0490057,0.039641425,0.073129766,-0.0772443,0.06918906,0.03538559,-0.19260627,-0.06820442,0.16592135,0.22463147,0.00017988906,0.053524345,-0.056847014,0.059459094,-0.04687135,0.00788603,0.036384795,0.01860434,0.05147836,-0.003922132,0.025969934,0.0030025998,-0.02162522,0.010637148,-0.013049249,0.0064611197,0.003451833,0.013212423
2021-10-01,-0.0692,0.09442857142857143,0.12971428571428573,0.7758571428571429,29.793735676088613,0.0,21.915584415584416,0.0,8.928571428571429,0.0,0.0,-0.42857142857142855,2.0794415416798357,1,-0.09414464285714284,-0.05357142857142855,-8.445876893881103,14.103084415584416,0.002693571428571438,0.06461428571428571,0.07775,0.8576357142857143,30.36846884106543,5.8730158730158735,3.7477954144620815,0.0,10.978360596509743,0.0,0.0,-0.5142857142857143,2.0794415416798357,1,0.004500476190476197,0.05119047619047612,5.8654473606020865,-4.318781925706978,0.05449637605919561,0.07736109917651271,0.057889640768588144,0.8647781298484307,26.339681939850347,8.805486304873769,5.917133161128363,6.554758338048954,5.965758353323973,2.7349784368694827,2.66429268424733,-0.2924603174603175,2.0794415416798357,1,0.013158785071427488,0.011645103649995436,2.0367916360758365,-3.487343252189233,0.137477,-0.008155375,-0.004628093,-0.04637764,-0.07099997,0.08216365,0.0038167902,0.041468475,-0.07323516,-0.06054015,0.017756594,0.021242702,-0.0309655,-0.044121798,0.010204425,-0.026824946,-0.007945685,-0.034131296,0.09968171,0.06752623,0.17671391,0.04698361,0.012315616,-0.019213561,-0.058142975,-0.03475048,-0.067467414,-0.08930839,-0.07565281,0.029363956,-0.039583735,-0.0646175,-0.055722572,0.050731145,-0.061080933,-0.021076506,-0.05095908,-0.04268797,-0.05837703,0.040135372,0.249931,0.021789562,0.020048684,-0.021868028,0.06750234,0.14587946,-0.0578298,-0.030155944,0.044950932,-0.032245025,0.0120807,-0.0626782,0.0047351406,-0.014863794,-0.009749108,0.03482239,0.04726619,0.06209508,0.010680808,0.02712977
2021-10-04,-0.10118,0.073,0.1176,0.8093999999999999,50.09221772379667,0.0,0.0,5.263157894736842,0.0,0.0,0.0,-0.5,2.3978952727983707,1,-0.09474309523809524,-0.10714285714285715,14.667897451787326,-12.51352813852814,0.038672500000000005,0.058275,0.066325,0.8753499999999999,16.654921464958157,1.492537313432836,12.926702212416497,0.0,0.0,7.521296807011093,1.4084507042253522,-0.4,2.3978952727983707,1,0.03897924603174603,0.14841269841269844,-9.80324913570588,6.299718847483098,0.07393300566202585,0.0727578248346312,0.04946087986293622,0.8777556171314285,21.364168414879423,6.08780503815664,7.61518169142042,1.4967617092210364,2.675410061747802,5.070155119262177,1.1988670591100157,-0.32211980932723966,2.3978952727983707,1,0.028209152983781897,-0.021896089433591892,-3.6176524342536958,-0.6268469711674323,0.15504153,0.010554919,0.00032907305,-0.014933761,-0.014151832,0.042364895,-0.0019143943,0.05058687,-0.06724437,-0.0068468982,-0.04426051,-0.024867818,0.047432616,-0.023060493,-0.0032776156,-0.10498826,0.0054857596,0.035515312,0.02142773,0.015040831,0.19601552,0.047270183,-0.0017210362,0.013762513,-0.024287583,-0.02008743,-0.03462292,-0.036240947,-0.06577174,0.022230128,-0.027878089,-0.02616103,0.0047808825,-0.01027976,-0.056487475,0.02690007,-0.052801345,-0.010154282,-0.06897544,0.06486041,0.29278663,-0.003869887,0.012727338,-0.0088327825,0.02984565,0.06754789,-0.039045565,0.03805389,0.044185814,-0.041190643,0.033241574,0.006142362,0.017698886,-0.050650846,-0.036528774,0.056514934,0.0029479791,0.067540325,0.05472936,-0.01865632
2021-10-05,-0.00576000000000001,0.0814,0.09240000000000001,0.8262,28.571428571428573,15.384615384615383,30.0,0.0,0.0,30.0,0.0,0.0,1.791759469228055,1,0.02436267857142857,0.41964285714285715,-10.519866063527605,20.614853896103895,0.009426666666666672,0.06433333333333333,0.05223333333333333,0.8833333333333334,11.921458625525947,3.225806451612903,6.256109481915933,2.898550724637681,2.898550724637681,3.225806451612903,0.0,-0.2,1.791759469228055,1,-1.1398809523810102e-05,0.31130952380952387,-12.085899691211619,-1.9458035948882415,0.08955755848966274,0.07895420986985499,0.04503557632948231,0.8759932017184685,14.740496240209136,9.414744060721473,7.471825347416916,3.001567991030752,3.5993209831705384,5.213878252076393,0.3447645117461212,-0.028174728784783186,1.791759469228055,1,0.03678141756547331,0.27752301346726255,-9.33691150036056,-0.613491572379079,0.09964357,-0.0048650107,-0.031672478,-0.002679612,-0.049904168,0.028844384,0.012964766,-0.007171906,0.022040134,-0.018496972,0.008786566,-0.018349024,-0.033745077,0.08382021,-0.03456176,-0.010839705,0.07494986,-0.05815422,-0.048255514,-0.014237689,0.16358404,0.037002224,-0.019413264,-0.030890236,-0.04323786,-0.015299047,-0.038098317,0.031282797,-0.02854525,0.0038826545,0.006116355,0.005638384,-0.037518647,-0.0071435943,0.029951196,0.010550361,-0.022815315,0.07110947,0.01564686,0.0038229818,0.21579099,-0.019498283,0.050910033,0.003265694,0.01957244,0.052923605,-0.044016674,-0.004864535,0.013433813,-0.062733226,0.02756535,0.055231493,0.04325892,0.006770565,-0.0059148655,0.024564886,0.01682433,-0.019027036,-0.025592439,0.030804753
2021-10-06,0.059258333333333336,0.059166666666666666,0.03216666666666667,0.9086666666666666,31.25,7.936507936507937,0.0,10.416666666666666,0.0,0.0,0.0,-0.16666666666666666,1.9459101490553132,1,0.0845084761904762,0.16904761904761909,-5.737321422250659,-13.508116883116884,-0.04676111111111111,0.06664444444444444,0.061566666666666665,0.8717888888888888,32.18630377370889,0.0,7.253123023402909,3.9215686274509807,4.69302475088396,5.909037001897533,4.329004329004329,-0.8333333333333334,1.9459101490553132,1,-0.05619689682539683,-0.38428571428571434,10.596125395213647,-0.5596293344236161,0.01988395145338837,0.08338364723082214,0.06585136001769129,0.850781476567235,27.395121722778367,10.411024717617279,6.901775922029029,7.418458586334179,7.222052276598039,2.5849842529806577,2.876801855306464,-0.48358611389454315,1.9459101490553132,1,-0.04024847298389571,-0.2333929743359499,5.185096282280782,-1.06084268329115,0.20791717,-0.008843281,-0.04157198,-0.07636892,-0.053036556,0.033993434,-0.07543584,0.02346595,-0.13103446,0.021247301,-0.020534562,0.02652894,-0.10304437,0.013782955,0.026459087,-0.026367243,-0.096201226,0.0034663354,0.104102954,0.086173944,0.21080522,0.03126806,0.057968706,-0.035735432,-0.08480233,0.04871612,0.0012919775,-0.08129179,-0.040408265,0.051786624,-0.0063947276,-0.061458968,0.03902372,0.03145615,-0.13258469,-0.06031345,-0.030135266,-0.046408206,-0.05972152,-0.038466282,0.23556508,-0.023420222,0.016172199,0.005734507,0.04179142,0.12463814,-0.05862424,0.009526163,0.021958496,-0.0016518112,-0.015899397,-0.07983358,0.011914505,0.08215032,-0.010051323,0.04961958,0.048577033,0.06832181,0.04535904,-0.009221859
2021-10-07,-0.0715,0.056875,0.1025625,0.8404375,37.57440476190476,0.0,0.0,7.8125,0.0,0.0,0.0,-0.375,2.1972245773362196,1,-0.08988866666666666,-0.10595238095238096,6.507928367641988,-13.508116883116884,0.11997187499999999,0.08333333333333333,0.04932291666666667,0.8673020833333334,6.758348409467812,7.831751581751582,5.5421422300263385,1.7857142857142858,8.569147355912062,5.5421422300263385,0.0,0.04166666666666666,2.1972245773362196,1,0.12431204960317459,0.5645238095238095,-16.6497414418126,-2.848674456935419,0.07787288129011875,0.06828672641282152,0.04838242786843095,0.8833610263927969,18.0945134636714,3.5570572438571504,9.128406431798505,1.8088050643209845,4.085799770676461,6.216409882067361,3.2427335984832935,-0.5980380036630036,2.1972245773362196,1,0.02743939448023977,-0.3292894176127642,-4.418726770739049,1.4197995985304672,0.15986387,0.018652817,-0.014428865,-0.09205376,-0.09630323,0.07890429,0.025474131,-0.057360884,0.07995087,-0.055002708,0.0037835874,-0.06088485,-0.009265177,-0.042366996,-0.09817575,-0.046608515,0.0155877145,-0.012737949,0.07801679,-0.005687991,0.18497944,0.03228986,0.027328396,-0.0058884067,-0.0265031,-0.047227625,-0.04250918,-0.053544402,0.011195338,-0.018889617,-0.06436493,-0.011454456,-0.0006893878,-0.03897458,0.0042402917,-0.019815898,-0.037560422,0.04238993,-0.033359032,0.053923506,0.2717099,0.10996349,0.022672571,-0.07683454,0.24514195,-0.1163567,-0.11280871,0.03718863,0.025149878,0.049904175,0.04025155,-0.03910732,-0.04747659,-0.02242923,-0.035936426,0.01507185,-0.049007352,0.018347315,0.03597224,0.024384078
2021-10-08,0.019331250000000015,0.1485,0.1233125,0.72825,53.175990675990676,11.363636363636363,0.0,0.0,21.78030303030303,0.0,0.0,-0.375,2.1972245773362196,1,0.05700758333333335,-0.08095238095238094,17.719633329346955,-10.383116883116884,0.16379104166666666,0.09469166666666667,0.056749999999999995,0.8484708333333333,19.374664723501933,1.288659793814433,9.383481658190961,0.0,2.9069767441860463,7.929993286097938,1.7857142857142858,-0.375,2.1972245773362196,1,0.13899034126984128,0.006190476190476191,-0.20323549944331276,2.2383071857462102,0.13778134633135583,0.088727572845331,0.04858503002733981,0.8626724673348994,16.740672346879503,8.736201270603251,5.376203094720924,0.993891797556719,6.028963831821481,2.7756644393588568,1.2666999102424739,-0.018292846417846426,2.1972245773362196,1,0.07463259174047757,0.32658294820813094,-4.846124009398231,-2.0306614160377228,0.17491849,0.03903541,-0.016503934,-0.07831274,-0.050905187,0.044133686,-0.00089454686,0.06873098,-0.0048216195,0.03813941,-0.015932482,-0.04131041,0.11246453,0.002125273,-0.021720976,-0.043772846,-0.023265056,-0.061941467,-0.07315441,0.0364352,0.2354568,-0.007121342,0.06245319,0.03846082,0.08256235,-0.06361732,-0.010710059,-0.09535137,-0.03162542,-0.0038901377,0.008056635,0.0007187828,-0.042891894,-0.0077206115,-0.030212546,-0.009186208,-0.0026436148,-0.03727503,-0.079794236,0.04223797,0.25411293,-0.01120884,0.061835933,-0.01412043,0.017249478,0.049701132,-0.023186777,0.016380185,0.055712044,-0.025655424,0.051334456,0.016186712,0.02724511,-0.07870362,-0.03305862,0.051256187,0.006568971,0.008835519,-0.047433924,0.055842426
2021-10-11,-0.03387692307692309,0.09773076923076923,0.12938461538461538,0.7728846153846154,52.480852480852484,21.291208791208792,0.0,0.0,0.0,0.0,0.0,-0.15384615384615385,2.6390573296152584,1,-0.013906839743589756,0.12948717948717947,12.348044134228346,-6.0,0.052115054945054945,0.0766470695970696,0.06799358974358974,0.8553401098901099,20.348023967199577,13.801225045367769,9.473008950901093,0.0,1.9664362312822141,3.842214268026384,0.9861932938856016,-0.0641025641025641,2.6390573296152584,1,-0.004905139499389505,0.28923076923076924,2.968884567767031,1.2006972297105651,0.09384413870692986,0.07792926464515533,0.0524110053324271,0.8696400825746593,19.109951787915477,8.061201123789154,7.25036761035738,1.2914337343646822,3.94415011366151,4.028324088296963,1.8245264809642805,-0.29410689740675394,2.6390573296152584,1,0.014038390061619554,-0.004064596989270752,-0.5570426497680856,-0.04831088711977749,0.2236475,-0.0072264704,0.041887067,0.016868757,0.026378974,0.007909332,-0.045850787,0.095167205,0.021193033,0.011841083,0.024223372,0.04227566,-0.02027205,0.046425235,0.04990509,0.000639394,-0.06307971,0.015525159,0.057895552,0.05286787,0.28218022,0.033574,-0.03496313,0.002463316,0.014741975,-0.0439455,0.026952706,-0.072688594,-0.018246641,0.048638504,0.031912588,-0.07644993,0.10928839,-0.003506002,0.013654594,0.08768657,0.016875215,0.048502654,0.014829234,-0.0043903952,0.36514184,0.019136323,0.008306125,-0.04561935,0.06047094,-0.024970453,-0.027289977,0.054265827,0.03961024,-0.054765087,0.0013678346,0.008704851,0.0044489307,-0.072353296,-0.03098841,0.122928396,-0.0052890414,0.03283501,0.041721404,-0.029867912
2021-10-12,0.0020785714285714296,0.06971428571428571,0.092,0.8382857142857143,36.03152799581371,4.761904761904762,10.256410256410257,0.0,3.9682539682539684,5.4945054945054945,0.0,-0.35714285714285715,2.70805020110221,1,0.008588039377289377,-0.14304029304029306,-4.579007302221591,4.256410256410257,-0.017196190476190473,0.056588095238095236,0.06612142857142857,0.8773095238095239,32.24001741429338,8.274423837658317,11.248348999839155,3.527336860670194,1.86718043860901,8.340070404102478,0.0,-0.4880952380952381,2.70805020110221,1,-0.0769048959096459,-0.20194139194139188,14.122257514412553,3.666775930951709,0.08113760206266851,0.0809943773943613,0.04565868750108459,0.8733507067706899,20.030944032537068,8.772045314806546,8.03552154388047,2.3483291934816477,3.334320441665646,5.145157626017231,0.5060431088299623,-0.3155549648743378,2.70805020110221,1,-0.002650373191622604,-0.031115246840951738,0.8147929202462905,0.809805862615919,0.2339029,0.14430943,-0.071487434,0.03397851,-0.050261326,0.020483648,-0.033272795,0.014433182,-0.019925019,-0.024013946,-0.03876541,-0.039334267,-0.08896886,0.012195653,0.039662533,-0.052072924,0.021309566,-0.032106902,0.0313654,-0.01516833,0.27311638,0.02982927,-0.11288087,-0.10902243,-0.08158635,-0.09149335,-0.023903985,-0.122903995,-0.00020064689,0.07456713,-0.06595654,-0.0028161502,0.041428372,-0.028368708,-0.07953424,-0.031177523,0.054496065,0.112683475,0.045542967,-0.019455284,0.34623718,0.10708575,-0.04069765,-0.1480398,0.16449402,0.04688247,0.1064476,0.0072700735,0.04309814,-0.03435016,0.014683371,-0.012863067,0.05133099,0.02430299,0.037302546,0.1596613,0.070722274,0.060525052,-0.04468926,-0.028026951
